“海尔，这是阿包特·泰姆”这句台词出自哪款游戏？星际争霸2 
被成为“一生万物、万物归一者”的是 Yog-Sothoth 
《旋风管家》中的女主角三千院凪的身高是？(直接输入阿拉伯数字） 138 
银河英雄传说中男主角杨威利是如何死亡的 被地球教刺客刺杀 
动漫（雪之少女）泽渡真琴，的口头禅是什么 啊呜 
《魔法少女小圆》的编剧（脚本）是谁？ 虚渊玄 
下列哪个角色不是关智一配音的？ 基拉·大和 
是谁提出“感应电流的磁场总是要阻碍引起感应电流的磁通量的变化“? 楞次 
动漫《火影忍者》中，宇智波佐助所拥有的瞳术的名字是？ 写轮眼 
《轻音少女》动画中，活动室里养的动物是？ 乌龟 
灼眼的夏娜中夏娜所带的项链中红世之徒的名字是 亚拉斯托尔 
国产动画片《魁拔》中，魁拔的重生时间是 333年 
以下哪一款RPG（角色扮演游戏）属于WRPG（欧美角色扮演游戏）？ 博德之门 
C语言中，如果ar是个数组，那么表达式ar[i]与什么等价？ *ar(i+1) 
c语言中换行符是？ \n 
某万事屋老板的名字是？坂田银时 
以下那部动画的配乐不是梶浦由纪？ fate stay night 
《某科学超电磁炮》中 御坂美琴的硬币大约能打多少米？ 50米 
以下哪个动漫人物被作为我朝四代隐形战机的爱称？ 秋山澪 
EVA新剧场版中真希波玛丽眼镜镜框的颜色是 红色 
世界第一公主殿下是谁 初音未来 
哔哩哔哩是什么类型的网站? 弹幕视频 
2012年日萌萌王是谁 园城寺怜 
《穿越火线》由国内哪家公司代理运营？ 腾讯 
下列各项不属于电脑操作系统的是 S60 
国际标准化组织ISO制定的OSI模型中，路由器工作在哪一层？ 网络层 
下列谁没有担任《机动战士高达V》的机设 安彦良和 
mugen人物实力一共有几个级别 7个 
由Nintendo公司发售的8位游戏机的名称缩写是什么？ FC 
（），你一定不懂吧。括号里的名字是？ 心叶 
团长的名字是 凉宫春日 
空之境界中与阴性人格式相反的阳性人格是? 织 
东方project中不死组指的是那对CP 妹红X辉夜 
《蔷薇少女》中翠星石的瞳色是？ 左绿右红 
当PCl5 = PCl3 +Cl2的化学平衡常数Kc=1.8M时，在0.5L的容器中加入0.15molPCl5,求平衡后Cl2的浓度 0.26M 
《to love》中的梨斗的妹妹的配音是谁？ 花泽香菜 
以下哪位角色脸上没有刀疤？ 阿鲁卡多@HELLSING 
“我的这把刀可是涂满了毒药的毒刃”出自于哪部作品 勇士闯魔城 
下列动画作品中，那一部是由京都动画公司制作的。 幸运星 
高达鲁姆会战中吉翁一方出动了多少艘姆赛级巡洋舰？ 69 
《加速世界》男主角是谁？ 有田春雪 
《今天开始做魔王》中，涉谷有利第一次是怎么穿越的？ 被女厕的抽水马桶冲到异界 
在缩写“ACG”中字母“G”代表什么？ Game 
在动漫《叛逆的鲁路修》中，C.C.的头发的颜色是？ 绿色 
凡能从石台上拔出此剑者，即为英格兰的天命之王。出自哪部动漫？ 命运之夜 
3dmax中旋转视图按哪个键 alt+鼠标中键 
以下哪个不是鬼畜全明星成员？ 金凯瑞 
游戏《帝国时代2》中，中国的特色兵种是？ 诸葛弩手 
“钉宫病”是指有关哪位声优的病症？ 钉宫理惠 
晓美焰的声优是？ 斋藤千和 
下列哪个人物与《kiss×sis》中「住之江理香」的配音相同？ 蕾蒂西亚（问题儿童都来自异世界？） 
请问被称为名作之壁的是什么动漫？ Infinite Stratos 
我国4个直辖市中哪个面积最大？ 重庆 
《clannad》中藤林杏所养的宠物小野猪的名字是什么？ 牡丹 
葛平的职业是？（说正经的） 配音演员 
日语的元音的罗马音是？ aiueo 
农业不发达，必须要有什么？ 金克拉 
阿卡林的原名是... 赤座灯里 
《十二国记》的作者是谁 小野不由美 
《青之驱魔师》是作者是那位？ 加藤和惠 
以下哪一部作品的剧本不是虚渊玄？ 尘骸魔京 
游戏MONSTER HUNTER 3G 中共有几种武器？ 12 
夏目友人帐中的猫咪老师（斑）被动漫爱好者称呼为？ 娘口三三 
元首曾经去过中国的哪个省份？ 河北省 
钉宫四萌哪个出现的最早 夏娜 
动漫《FATE ZERO》中，Rider的名字是？ 亚历山大·伊斯坎达尔 
官方逼死了谁？ 同人 
北极熊的毛是什么颜色？ 透明 
《死神》现任二番队队长大人的名字是？ 碎蜂 
“不要叫我大王，要叫我_______！” 空缺处填？ 女王大人 
拼音“s”的发音是？ 唇齿清擦音 
零之使魔中露易丝在托里斯汀所打工的酒馆前身叫什么 鳗鱼之睡床 
《龙与虎》中的逢坂大河声优是谁？ 钉宫理惠 
下列各项不属于电脑操作系统的是 S60 
Operation Skuld出自哪部动画？ Chaos;Head 
FFF团作为一种自发组织的民间团体主要活动形式是？ 烧死情侣 
哪部是key社所谓的秋？ One 
以下哪个不是国产游戏。 空之轨迹 
虚渊玄被称为？（四个中文汉字） 爱的战士 
一部动漫名称，《XXXX的忧郁》，XXXX应为？ 凉宫春日 
动画《回转企鹅罐》的监督是谁？ 几原邦彦 
《Angel Beast》的女主角是谁？ 立华奏 
以下谁拥有Geass的能力？ 鲁鲁修 
新日暮中的黑暗势力统领是谁？ VAN样 
XX我成为正义的伙伴了吗？ 切嗣 
400大妈是指 东映蜘蛛人 
海猫鸣泣之时的武具是叫什么名字？ 谢斯塔姐妹兵 
key君是谁？ 杉崎健 
以下哪个地区代表未出现在金克拉广告中？ 俄罗斯 
以下哪个人不属于ACG界四大人渣？ 结城梨斗 
某部机甲动漫中出现的经典台词是？ 我爸爸都没打过我！ 
阿良良木历有几个妹妹？ 2个 
金坷垃三人组里的非洲人叫什么名字。 东仙队长 
以下哪部作品没有得过这本轻小说真厉害排行榜的第一？ 龙与虎 
逢坂大河是哪部作品的主角 龙与虎 
洛天依的声源是 山新 
《机动战士高达00》中刹那.f.清英的配音是谁？ 宫野真守 
《Love Live!》中的小泉花阳最喜欢的食物是。 白米饭 
NTSC制式的视频帧率是 30fps 
博丽灵梦所在的神社是什么？ 博丽神社 
日本剑圣宫本武藏自创的武术是什么？ 二天一流 
“今天的风儿好喧嚣啊”的出处。 男子高中生的日常 
声优喜多村英梨被中国网友戏称为？ 酋长 
下面哪个角色不是浪川大辅配的？ 怪盗基德 
《虫之歌》中的狮子堂戌子绰号是？ 小狗 
回转企鹅罐中一共有多少个ED？出了多少个OST？ 10，8 
以下不是光色三原色的是？ 绿色 
高达的英文缩写是。 GUNDAM 
蒙奇·D·路飞出自哪个作品。 海贼王 
“给我一个支点，我可以撬动地球”这句话是谁说的？ 阿基米德 
《中二病也要谈恋爱》中小鸟游六花的姐姐叫什么名字？ 小鸟游十花 
《英雄联盟》中盖伦是哪个势力的。 德玛西亚 
幽灵行军不是谁的固有结界 梵·斐姆 
《化物语》中战场原黑仪的配音是谁？ 斋藤千和 
春秋战国时期，哪家学说的主张是“兼爱”“非攻”？ 墨家 
《未来日记》中女主叫什么名字？ 我妻由乃 
路飞的爷爷是？ 海军 
“拔刀，拔刀，拔刀”出自哪部漫画？ K 
下列动画作品中，那一部是由京都动画公司制作的。 幸运星 
高达鲁姆会战中吉翁一方出动了多少艘姆赛级巡洋舰？ 69 
在缩写“ACG”中字母“G”代表什么？ Game 
在动漫《叛逆的鲁路修》中，C.C.的头发的颜色是？ 绿色 
凡能从石台上拔出此剑者，即为英格兰的天命之王。出自哪部动漫？ 命运之夜 
